"","sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G3"
"235",1,17,0,0,0,4,2,0,3,0,0,1,1,1,1,1,1,0,3,1,2,0,0,3,6,13
"335",1,18,1,1,0,4,4,2,1,0,0,1,1,0,0,1,1,1,2,1,1,3,1,4,10,11
"182",1,16,0,0,0,4,4,0,1,0,0,1,1,0,1,1,1,0,3,4,1,0,1,2,0,10
"27",0,15,0,1,0,2,2,0,0,0,0,1,1,0,1,1,1,0,3,1,1,0,1,4,2,11
"295",1,17,1,0,0,2,2,0,2,0,0,1,1,1,1,1,1,0,2,2,1,1,1,2,3,11
"306",1,19,1,1,1,3,1,0,2,1,0,0,1,0,1,1,0,0,4,3,2,0,1,4,12,13
"148",0,15,1,1,0,3,2,1,1,2,1,1,0,0,1,1,1,1,3,3,3,0,3,2,6,7
"117",0,15,0,1,0,4,4,1,1,0,0,1,0,1,1,1,0,0,3,3,2,0,0,1,2,14
"9",0,15,0,0,1,3,2,0,1,0,0,1,1,0,1,1,1,0,3,1,1,0,0,0,0,19
"265",0,18,0,0,1,4,4,0,1,0,0,1,1,1,1,1,1,0,4,3,2,0,0,1,9,15
"224",0,16,0,1,0,2,1,2,0,0,0,0,0,0,1,1,1,0,3,2,2,0,0,3,6,18
"210",0,18,0,0,0,2,1,3,1,0,1,1,1,1,1,1,1,1,3,2,1,3,4,2,14,9
"323",1,17,1,1,0,4,4,1,1,0,0,1,1,1,1,1,1,0,3,2,2,0,1,4,4,13
"151",0,16,0,1,0,3,2,1,0,1,0,1,0,1,0,0,0,0,3,4,1,0,0,1,16,12
"319",0,18,0,0,0,1,3,0,0,1,0,0,0,0,1,0,1,1,3,2,2,1,2,2,7,8
"340",1,18,1,0,0,4,4,1,2,0,0,0,0,0,1,1,1,0,4,3,3,0,0,0,0,19
"232",0,16,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,2,2,0,8
"177",0,16,0,1,0,2,3,1,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,2,0,14
"297",1,17,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1,0,2,2,2,1,2,1,0,15
"35",0,16,0,1,0,3,2,0,0,0,0,1,1,0,0,1,1,0,4,3,2,0,0,4,0,15
"47",1,16,0,0,1,3,3,0,1,0,0,1,0,0,1,1,1,0,1,2,4,0,3,2,12,11
"184",1,16,0,1,0,2,3,0,1,0,1,1,1,1,1,1,0,0,3,3,2,0,2,3,6,10
"115",0,15,1,1,0,2,1,0,1,0,0,0,0,1,1,1,1,1,4,3,1,0,0,4,8,9
"246",1,19,0,1,0,3,3,0,1,2,0,1,1,1,1,1,1,0,3,2,4,2,2,4,15,9
"252",1,18,1,1,1,3,2,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,4,75,9
"285",1,19,0,1,0,2,1,2,1,0,0,1,0,0,1,0,1,1,2,3,0,0,0,1,20,13
"103",0,15,0,1,0,4,4,0,0,0,0,1,0,1,0,1,1,0,4,2,2,0,0,4,4,14
"300",0,17,1,1,0,2,2,3,0,0,0,1,0,0,1,1,1,0,3,3,4,4,4,3,8,10
"99",1,16,0,1,0,4,4,0,0,0,0,0,0,1,0,1,1,0,4,2,3,0,1,0,6,14
"275",1,18,0,0,1,4,4,0,1,0,0,1,0,0,1,1,1,1,3,1,3,0,0,3,14,11
"104",1,15,0,1,0,3,2,1,1,0,1,1,1,0,1,1,1,0,3,2,4,0,0,1,26,6
"330",1,17,0,0,0,4,4,0,1,0,0,1,1,1,1,1,1,1,1,2,3,0,0,0,0,15
"122",0,15,0,1,0,2,2,0,3,0,0,1,1,1,1,1,1,0,4,4,3,0,1,4,6,15
"30",0,16,0,1,0,4,4,0,1,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,16,11
"233",0,17,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,3,3,1,1,3,4,0,12
"38",0,16,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,1,1,3,2,0,0,4,7,15
"128",1,19,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,0,2,3,1,0,0,4,2,9
"130",1,17,0,0,0,2,2,0,0,0,0,1,0,0,1,1,1,1,2,3,3,0,2,4,12,12
"296",1,17,0,1,0,3,1,0,2,0,0,1,0,0,0,1,1,0,2,3,2,1,2,4,1,15
"181",1,17,0,1,0,4,4,1,0,1,0,1,0,0,1,1,1,0,3,1,3,1,2,1,24,18
"11",1,15,0,1,0,4,4,0,1,0,0,1,1,0,1,1,1,0,2,2,2,0,1,1,0,9
"240",0,18,1,1,0,3,2,0,2,0,0,0,0,1,0,1,0,0,4,2,1,0,0,2,1,12
"282",0,19,0,1,0,4,4,1,0,1,0,1,1,0,1,1,1,1,3,2,3,0,0,3,38,8
"68",1,16,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,3,2,2,0,1,4,4,6
"91",1,16,0,1,0,3,3,0,2,0,0,1,1,0,1,1,1,1,3,2,2,0,2,3,0,8
"271",0,17,0,1,0,3,3,0,0,0,0,1,1,0,1,1,1,0,3,3,2,0,2,4,4,11
"79",0,17,0,1,0,2,1,1,0,3,1,1,0,1,1,0,1,0,3,4,0,0,0,2,2,10
"263",1,17,0,1,0,1,1,0,2,0,0,1,1,0,1,1,1,0,3,2,2,0,0,2,6,12
"262",1,18,0,1,0,2,2,0,2,0,0,1,1,0,1,1,1,0,3,2,2,0,1,1,5,19
"15",0,15,0,1,1,2,2,0,2,0,0,1,0,0,1,1,1,1,3,4,1,0,0,2,0,16
"294",1,17,0,1,0,2,2,0,1,0,0,1,0,0,1,1,0,1,3,1,1,0,0,2,12,9
"171",1,17,0,1,1,3,3,0,1,0,0,1,0,0,0,1,1,1,2,2,2,0,2,2,6,9
"95",0,15,0,0,0,2,2,0,3,0,0,1,0,1,1,1,1,0,3,2,3,0,0,3,6,14
"170",0,16,0,0,0,2,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,0,1,4,0,15
"129",0,16,1,1,0,4,4,0,0,0,0,0,1,1,1,1,1,0,2,4,4,1,4,3,8,18
"223",0,16,0,1,0,4,4,0,0,0,0,0,0,1,1,1,1,0,4,2,1,0,1,4,0,12
"131",1,16,0,1,1,3,4,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,3,4,16,11
"276",0,17,0,0,0,4,4,1,0,0,0,0,1,0,1,1,1,0,3,0,0,1,1,4,0,10
"189",1,16,0,1,1,3,1,0,1,3,0,1,1,0,1,1,1,0,1,2,2,1,1,3,5,7
"314",0,18,0,1,0,4,3,0,2,0,0,1,1,0,1,1,1,1,4,3,4,1,2,4,0,9
"106",1,15,0,1,1,3,3,0,3,0,1,0,0,0,1,1,0,0,3,2,2,0,0,3,10,11
"279",0,19,0,1,0,3,3,0,1,1,0,1,0,1,1,1,1,1,3,3,3,0,0,2,20,13
"44",0,15,0,1,0,2,2,0,0,0,1,1,0,0,1,1,1,0,4,3,0,0,0,0,0,11
"270",0,18,1,0,0,3,2,1,2,0,0,1,1,1,1,1,1,0,4,3,1,0,0,3,8,14
"93",1,16,0,0,0,3,1,0,1,0,1,1,0,0,1,1,0,0,2,2,2,1,2,1,4,6
"352",1,18,0,0,0,3,1,0,1,0,0,1,1,0,1,1,1,0,3,2,3,0,0,0,0,8
"2",1,17,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,4,2,2,0,0,2,4,6
"348",0,17,0,1,0,2,3,1,1,0,0,0,0,1,1,1,1,0,3,3,2,0,0,2,2,10
"228",0,16,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,3,2,1,1,3,4,0,15
"101",0,16,0,1,0,4,4,0,0,0,1,1,1,1,1,1,1,0,3,4,4,4,4,3,14,5
"42",0,15,0,0,0,4,4,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,3,4,8,12
"326",1,18,0,0,0,1,1,1,2,0,0,0,0,0,1,1,1,0,4,2,1,0,0,3,0,16
"109",0,15,1,1,0,4,4,3,3,0,0,1,1,1,1,1,1,1,0,2,4,2,4,0,6,13
"13",0,15,0,0,0,4,4,0,0,0,0,1,1,1,1,1,1,0,3,2,2,0,2,4,2,14
"197",1,17,1,0,0,4,4,0,0,0,0,1,1,0,1,1,0,0,4,1,0,0,1,2,12,10
"179",0,17,0,1,0,4,4,0,0,0,0,0,0,0,1,1,1,0,4,1,2,0,1,4,4,16
"322",1,18,0,1,0,3,3,0,1,0,0,1,0,0,1,1,0,1,4,2,3,0,0,4,0,9
"64",1,16,0,1,0,4,3,0,2,0,1,1,1,1,1,1,1,0,2,3,3,1,3,3,2,9
"140",0,16,0,0,0,2,1,0,0,1,0,0,0,1,1,1,0,1,3,3,3,2,4,4,6,14
"149",0,17,0,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,4,2,2,0,3,1,2,10
"74",0,16,0,1,0,3,1,0,0,0,0,0,0,1,1,1,0,0,4,2,1,1,1,4,2,14
"229",0,18,0,1,0,3,2,1,0,1,0,0,0,0,1,0,1,0,3,3,4,1,3,4,0,8
"60",1,16,0,1,0,4,2,0,1,0,0,1,0,0,1,1,1,0,3,1,2,0,0,4,2,16
"37",0,15,0,0,0,4,3,0,2,0,0,1,0,1,1,1,1,0,4,3,2,0,0,3,2,18
"96",1,15,1,1,0,1,1,1,3,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,2,10
"298",0,18,0,1,0,4,4,0,2,0,0,0,0,1,1,1,1,0,3,2,2,1,1,2,3,11
"132",0,16,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,3,3,3,0,2,4,0,12
"260",1,17,0,1,0,2,2,0,1,0,0,1,0,0,0,1,1,0,4,3,4,0,1,4,4,11
"291",1,17,1,1,0,3,4,0,2,0,0,1,1,1,0,1,1,0,3,2,3,1,4,4,0,10
"146",0,16,1,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,2,2,15
"4",1,15,0,1,0,4,2,0,2,0,0,1,1,1,1,1,1,1,2,1,1,0,0,4,2,15
"31",0,15,0,1,0,4,4,0,1,0,0,1,1,0,0,1,1,0,4,3,1,2,3,4,0,12
"217",0,16,0,1,0,3,2,1,2,0,0,0,0,1,1,1,1,1,4,2,2,0,2,1,10,10
"317",0,19,1,1,0,1,1,2,1,3,0,0,0,0,1,1,1,0,4,3,3,2,2,1,8,8
"36",1,15,0,1,0,2,3,1,0,0,0,1,0,1,1,1,0,0,2,4,0,0,0,4,0,6
"175",0,17,0,1,0,1,2,1,1,0,0,0,1,1,0,1,1,0,3,3,3,3,4,4,12,8
"88",1,15,0,1,0,4,2,0,2,0,0,1,0,1,1,1,1,0,4,2,2,0,2,0,4,14
"248",1,18,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,3,3,2,0,0,2,2,11
"173",1,16,0,1,0,2,3,0,1,0,0,0,0,0,1,1,1,0,3,2,2,0,0,1,10,13
"19",0,17,0,1,0,3,2,0,0,3,0,1,0,1,1,1,1,0,4,4,4,1,3,4,16,5
"337",0,18,1,0,0,1,2,2,0,0,0,1,1,1,1,0,1,1,3,2,2,1,2,2,3,12
