"","member","state","party"
"1","BONNER (R AL-1)","AL","R"
"2","BRIGHT (D AL-2)","AL","D"
"3","ROGERS (R AL-3)","AL","R"
"4","ADERHOLT (R AL-4)","AL","R"
"5","GRIFFITH (D/R AL-5)","AL","DR"
"6","BACHUS (R AL-6)","AL","R"
"7","DAVIS (D AL-7)","AL","D"
"8","YOUNG (R AK-1)","AK","R"
"9","KIRKPATRICK (D AZ-1)","AZ","D"
"10","FRANKS (R AZ-2)","AZ","R"
"11","SHADEGG (R AZ-3)","AZ","R"
"12","PASTOR (D AZ-4)","AZ","D"
"13","MITCHELL (D AZ-5)","AZ","D"
"14","FLAKE (R AZ-6)","AZ","R"
"15","GRIJALVA (D AZ-7)","AZ","D"
"16","GIFFORDS (D AZ-8)","AZ","D"
"17","BERRY (D AR-1)","AR","D"
"18","SNYDER (D AR-2)","AR","D"
"19","BOOZMAN (R AR-3)","AR","R"
"20","ROSS (D AR-4)","AR","D"
"21","THOMPSON (D CA-1)","CA","D"
"22","HERGER (R CA-2)","CA","R"
"23","LUNGREN (R CA-3)","CA","R"
"24","MCCLINTOCK (R CA-4)","CA","R"
"25","MATSUI (D CA-5)","CA","D"
"26","WOOLSEY (D CA-6)","CA","D"
"27","MILLER (D CA-7)","CA","D"
"28","PELOSI (D CA-8)","CA","D"
"29","LEE (D CA-9)","CA","D"
"30","TAUSCHER (D CA-10)","CA","D"
"31","GARAMENDI (D CA-10)","CA","D"
"32","MCNERNEY (D CA-11)","CA","D"
"33","SPEIER (D CA-12)","CA","D"
"34","STARK (D CA-13)","CA","D"
"35","ESHOO (D CA-14)","CA","D"
"36","HONDA (D CA-15)","CA","D"
"37","LOFGREN (D CA-16)","CA","D"
"38","FARR (D CA-17)","CA","D"
"39","CARDOZA (D CA-18)","CA","D"
"40","RADANOVI (R CA-19)","CA","R"
"41","COSTA (D CA-20)","CA","D"
"42","NUNES (R CA-21)","CA","R"
"43","MCCARTHY (R CA-22)","CA","R"
"44","CAPPS (D CA-23)","CA","D"
"45","GALLEGLY (R CA-24)","CA","R"
"46","MCKEON (R CA-25)","CA","R"
"47","DREIER (R CA-26)","CA","R"
"48","SHERMAN (D CA-27)","CA","D"
"49","BERMAN (D CA-28)","CA","D"
"50","SCHIFF (D CA-29)","CA","D"
"51","WAXMAN (D CA-30)","CA","D"
"52","BECERRA (D CA-31)","CA","D"
"53","SOLIS (D CA-32)","CA","D"
"54","CHU (D CA-32)","CA","D"
"55","WATSON (D CA-33)","CA","D"
"56","ROYBAL-A (D CA-34)","CA","D"
"57","WATERS (D CA-35)","CA","D"
"58","HARMAN (D CA-36)","CA","D"
"59","RICHARDSON (D CA-37)","CA","D"
"60","NAPOLITA (D CA-38)","CA","D"
"61","SANCHEZ (D CA-39)","CA","D"
"62","ROYCE (R CA-40)","CA","R"
"63","LEWIS (R CA-41)","CA","R"
"64","MILLER (R CA-42)","CA","R"
"65","BACA (D CA-43)","CA","D"
"66","CALVERT (R CA-44)","CA","R"
"67","BONO (R CA-45)","CA","R"
"68","ROHRABAC (R CA-46)","CA","R"
"69","SANCHEZ (D CA-47)","CA","D"
"70","CAMPBELL (R CA-48)","CA","R"
"71","ISSA (R CA-49)","CA","R"
"72","BILBRAY (R CA-50)","CA","R"
"73","FILNER (D CA-51)","CA","D"
"74","HUNTER (R CA-52)","CA","R"
"75","DAVIS (D CA-53)","CA","D"
"76","DEGETTE (D CO-1)","CO","D"
"77","POLIS (D CO-2)","CO","D"
"78","SALAZAR (D CO-3)","CO","D"
"79","MARKEY (D CO-4)","CO","D"
"80","LAMBORN (R CO-5)","CO","R"
"81","COFFMAN (R CO-6)","CO","R"
"82","PERLMUTTER (D CO-7)","CO","D"
"83","LARSON (D CT-1)","CT","D"
"84","COURTNEY (D CT-2)","CT","D"
"85","DELAURO (D CT-3)","CT","D"
"86","HIMES (D CT-4)","CT","D"
"87","MURPHY (D CT-5)","CT","D"
"88","CASTLE (R DE-1)","DE","R"
"89","MILLER (R FL-1)","FL","R"
"90","BOYD (D FL-2)","FL","D"
"91","BROWN (D FL-3)","FL","D"
