char_giving,treat,amount_pre,amount_lastpre,amount_maxpre,H_number_yearbefore,H_ngifts,H_littleask,H_bigask,H_nyears,H_frequency,H_medinc,H_medinc_mdum,H_Avg_years_ed,H_Avg_years_ed_mdum
0,0,1,1,1,0,1,1,0,2,.5,27720,0,10.723126,0
0,0,1,1,1,0,1,1,0,2,.5,35985,0,13.2656,0
0,0,1,1,1,0,1,1,0,2,.5,40064,0,13.920979,0
0,0,1,1,1,0,1,1,0,2,.5,42831,0,14.012674,0
0,0,1,1,1,0,1,1,0,2,.5,44409,0,13.952495,0
0,0,1,1,1,0,1,1,0,2,.5,47612,0,14.330089,0
0,0,1,1,1,0,1,1,0,2,.5,55647,0,16.528067,0
0,0,1,1,1,0,1,1,0,2,.5,69889,0,17.13802,0
0,0,1,1,1,0,1,1,0,3,.33333334,0,1,0,1
0,0,1,1,1,0,1,1,0,3,.33333334,0,1,0,1
0,0,1,1,1,0,1,1,0,3,.33333334,30585,0,13.339076,0
0,0,1,1,1,0,1,1,0,3,.33333334,31820,0,13.732594,0
0,0,1,1,1,0,1,1,0,3,.33333334,32130,0,12.867777,0
0,0,1,1,1,0,1,1,0,3,.33333334,36973,0,13.082469,0
0,0,1,1,1,0,1,1,0,3,.33333334,37896,0,10.803355,0
0,0,1,1,1,0,1,1,0,3,.33333334,39862,0,15.746429,0
0,0,1,1,1,0,1,1,0,3,.33333334,40322,0,13.110756,0
0,0,1,1,1,0,1,1,0,3,.33333334,41201,0,13.778384,0
0,0,1,1,1,0,1,1,0,3,.33333334,44925,0,13.581788,0
0,0,1,1,1,0,1,1,0,3,.33333334,46475,0,13.498808,0
0,0,1,1,1,0,1,1,0,3,.33333334,51418,0,15.586517,0
0,0,1,1,1,0,1,1,0,3,.33333334,52816,0,14.223892,0
0,0,1,1,1,0,1,1,0,4,.25,0,1,0,1
0,0,1,1,1,0,1,1,0,4,.25,17664,0,15.138248,0
0,0,1,1,1,0,1,1,0,4,.25,20221,0,11.830797,0
0,0,1,1,1,0,1,1,0,4,.25,28472,0,13.690911,0
0,0,1,1,1,0,1,1,0,4,.25,30776,0,14.609675,0
0,0,1,1,1,0,1,1,0,4,.25,31820,0,13.732594,0
0,0,1,1,1,0,1,1,0,4,.25,32130,0,12.867777,0
0,0,1,1,1,0,1,1,0,4,.25,38441,0,14.216355,0
0,0,1,1,1,0,1,1,0,4,.25,39862,0,15.746429,0
0,0,1,1,1,0,1,1,0,4,.25,40412,0,14.225698,0
0,0,1,1,1,0,1,1,0,4,.25,44382,0,16.064608,0
0,0,1,1,1,0,1,1,0,4,.25,45173,0,12.781912,0
0,0,1,1,1,0,1,1,0,4,.25,46475,0,13.498808,0
0,0,1,1,1,0,1,1,0,4,.25,47722,0,14.097417,0
0,0,1,1,1,0,1,1,0,4,.25,56344,0,13.263555,0
0,0,1,1,1,0,1,1,0,4,.25,66284,0,15.556061,0
0,0,1,1,1,0,1,1,0,4,.25,74933,0,14.472701,0
0,0,1,1,1,0,1,1,0,4,.25,84342,0,16.82482,0
0,0,1,1,1,1,1,1,0,1,1,0,1,0,1
0,0,1,1,1,1,1,1,0,1,1,26120,0,12.314607,0
0,0,1,1,1,1,1,1,0,1,1,28563,0,13.069416,0
0,0,1,1,1,1,1,1,0,1,1,33149,0,13.729643,0
0,0,1,1,1,1,1,1,0,1,1,35066,0,13.444569,0
0,0,1,1,1,1,1,1,0,1,1,44409,0,13.952495,0
0,0,1,1,1,1,1,1,0,1,1,58792,0,14.069288,0
0,0,1,1,1,1,1,1,0,1,1,69889,0,17.13802,0
0,0,1,1,1,1,1,1,0,2,.5,27546,0,12.477283,0
0,0,1,1,1,1,1,1,0,2,.5,29994,0,12.947876,0
0,0,1,1,1,1,1,1,0,2,.5,31894,0,13.189487,0
