"","id","sales","price","brand","feat"
"1",1140,11970,2.47,"minute.maid",0
"3",7182,30205,1.57,"dominicks",1
"4",1741,3521,2.55,"minute.maid",0
"5",1725,11777,1.41,"dominicks",0
"6",7565,129151,2.05,"minute.maid",1
"8",5617,7104,3.74,"tropicana",0
"9",1580,21632,1.62,"dominicks",1
"12",640,4736,2.64,"minute.maid",0
"13",5657,74048,1.63,"tropicana",1
"14",2457,7617,1.47,"dominicks",0
"15",10085,6465,2.52,"tropicana",0
"18",3494,9024,3.61,"tropicana",0
"19",7823,9152,3.12,"tropicana",0
"20",1732,9856,2.56,"minute.maid",0
"21",8973,7231,3.16,"tropicana",0
"22",2667,13568,1.73,"dominicks",0
"23",8665,16257,2.52,"tropicana",0
"24",9426,5567,NA,"minute.maid",0
"25",1848,12097,2.42,"minute.maid",1
"28",3781,10944,2.01,"dominicks",0
"29",2419,9726,2.03,"minute.maid",0
"30",5059,8830,1.63,"dominicks",0
"31",12908,6465,3.07,"tropicana",0
"32",1260,12031,1.95,"tropicana",0
"33",373,8000,3.25,"tropicana",0
"34",4030,3392,2.72,"minute.maid",0
"35",11978,7103,1.23,"dominicks",0
"37",1230,21568,2.62,"tropicana",0
"39",5925,217601,2.02,"minute.maid",1
"40",6532,11458,2.21,"minute.maid",0
"43",6472,716415,0.97,"dominicks",1
"44",3558,3073,2.65,"minute.maid",0
"47",11916,7169,2.62,"tropicana",0
"49",5383,8512,1.67,"dominicks",1
"50",6916,49919,1.71,"dominicks",0
"51",11983,31808,2.43,"tropicana",0
"54",12783,13759,1.95,"minute.maid",1
"55",12254,32576,1.77,"tropicana",1
"56",9113,17536,2.06,"tropicana",0
"57",893,1983,2.66,"minute.maid",0
"58",6935,16831,3,"minute.maid",0
"59",11054,5696,2,"minute.maid",0
"60",72,25919,1.66,"dominicks",1
"61",4480,4672,1.45,"dominicks",1
"63",8956,6273,2.4,"tropicana",0
"64",1299,7039,1.59,"dominicks",1
"65",6289,6656,1.62,"dominicks",0
"66",80,4735,1.3,"dominicks",0
"67",4652,7295,2.68,"tropicana",0
"68",310,14271,1.69,"dominicks",1
"70",3527,13696,2.28,"tropicana",0
"72",1722,2367,NA,"minute.maid",0
"73",1183,4032,1.97,"dominicks",0
"74",6398,6017,3.24,"tropicana",0
"77",8144,14271,1.36,"dominicks",0
"79",7218,10048,2.2,"tropicana",0
"80",9596,21631,2.51,"minute.maid",0
"81",10494,3904,3.52,"tropicana",0
"82",9885,14913,3.6,"tropicana",0
"84",6141,6401,1.92,"minute.maid",0
"85",8569,6080,NA,"minute.maid",0
"86",4789,5888,2.15,"minute.maid",0
"89",5765,7233,3.67,"tropicana",0
"90",4277,17024,2.27,"minute.maid",1
"91",11750,2562,1.71,"dominicks",0
"92",1662,67069,1.95,"tropicana",1
"94",1530,3072,2.63,"minute.maid",0
"95",11927,15232,1.52,"dominicks",1
"97",3566,92862,1.76,"dominicks",0
"98",45,43967,1.97,"minute.maid",1
"99",7954,2432,1.51,"dominicks",0
"100",1358,1728,2.42,"dominicks",0
"101",11049,10689,2.97,"tropicana",1
"102",5323,6529,1.98,"dominicks",0
"103",7556,25153,1.99,"minute.maid",1
"104",250,3392,3.72,"tropicana",0
"106",8982,9984,3.05,"tropicana",0
"107",2410,37569,2.02,"tropicana",0
"109",2674,7295,2.9,"tropicana",0
"110",10692,2751,2.19,"dominicks",0
"111",2385,39871,2.38,"minute.maid",1
"113",9903,15231,1.86,"minute.maid",1
"116",11538,8385,1.91,"minute.maid",0
"117",8943,7423,2.94,"tropicana",0
"119",557,53890,1.65,"dominicks",0
"120",6872,4227,2.4,"minute.maid",1
"121",3348,17024,1.75,"dominicks",0
"123",10748,8578,NA,"tropicana",0
"124",10233,25920,2.34,"tropicana",1
"125",6924,8961,1.85,"minute.maid",0
"126",5473,9537,3.99,"tropicana",0
"127",9149,3202,2.9,"minute.maid",0
"128",2483,54721,0.97,"dominicks",0
"129",11959,6655,1.76,"minute.maid",0
"130",5775,3455,2.23,"minute.maid",0
"131",8406,13311,1.93,"minute.maid",1
"132",11892,3201,3.72,"tropicana",0
"133",10769,52799,1.1,"dominicks",1
"134",11531,2432,2.06,"dominicks",0
"135",9655,8002,3.89,"tropicana",0
"137",6282,10177,1.52,"dominicks",1
"138",5210,10241,1.56,"dominicks",1
"139",7409,5825,3.45,"tropicana",0
"141",11524,31938,1.4,"dominicks",1
"142",9954,11776,2.69,"tropicana",0
"143",5678,10239,1.73,"dominicks",0
"144",379,2176,3.09,"tropicana",0
"146",3751,3905,2.93,"minute.maid",0
"147",1284,12672,2.08,"minute.maid",0
"148",6337,3521,2.63,"tropicana",0
"149",7889,6143,2.51,"tropicana",0
