"","id","price","brand","feat"
"2",10171,1.81,"dominicks",1
"7",7489,NA,"tropicana",0
"10",7559,3.29,"tropicana",0
"11",1236,1.77,"minute.maid",1
"16",5361,1.53,"dominicks",0
"17",108,1.42,"dominicks",0
"26",854,2.83,"minute.maid",0
"27",11993,2.02,"minute.maid",0
"36",3759,2.49,"dominicks",0
"38",4549,3.12,"tropicana",0
"41",5045,3.9,"tropicana",0
"42",2720,2.86,"minute.maid",0
"45",10892,1.52,"minute.maid",1
"46",11011,1.95,"dominicks",0
"48",455,3.23,"minute.maid",0
"52",4025,3.04,"tropicana",0
"53",11162,1.92,"tropicana",0
"62",2265,1.7,"dominicks",0
"69",10788,2.51,"dominicks",0
"71",8115,2.76,"dominicks",0
"75",8800,2.94,"tropicana",0
"76",5135,2.26,"tropicana",1
"78",3205,1.96,"minute.maid",1
"83",2067,3.15,"tropicana",0
"87",5728,1.67,"minute.maid",0
"88",3370,2.06,"minute.maid",1
"93",9832,1.54,"dominicks",1
"96",3306,NA,"tropicana",0
"105",1869,2.39,"minute.maid",0
"108",8933,3.91,"tropicana",0
"112",7281,1.85,"minute.maid",0
"114",2817,1.42,"minute.maid",1
"115",11934,3.03,"tropicana",0
"118",5397,1.95,"minute.maid",0
"122",7723,1.46,"dominicks",1
"136",8448,1.9,"dominicks",0
"140",6908,3.48,"tropicana",0
"145",1988,3.33,"tropicana",0
"150",12743,2.42,"dominicks",0
"157",2964,1.97,"minute.maid",0
"159",3956,2.86,"tropicana",0
"163",10360,2.82,"minute.maid",0
"169",3796,1.81,"minute.maid",0
"170",2589,1.98,"minute.maid",1
"174",7233,1.8,"dominicks",1
"193",1742,2.66,"minute.maid",0
"203",12541,1.56,"dominicks",0
"206",5357,2.65,"tropicana",1
"210",3448,3,"tropicana",0
"211",4820,NA,"dominicks",0
"214",8585,2.59,"minute.maid",0
"215",3138,1.39,"minute.maid",1
"217",10338,2.16,"minute.maid",0
"228",1911,1.81,"minute.maid",0
"229",1364,2.73,"minute.maid",0
"232",9413,2.77,"minute.maid",0
"237",7405,3,"tropicana",0
"240",2404,1.61,"minute.maid",0
"250",7315,2.43,"dominicks",0
"258",8226,2.71,"tropicana",0
"260",3352,2,"minute.maid",1
"278",11975,1.35,"dominicks",0
"281",2798,1.62,"dominicks",0
"283",8253,1.47,"dominicks",0
"289",2418,2.17,"minute.maid",0
"293",12209,2.06,"tropicana",1
"294",6956,1.87,"tropicana",0
"295",584,3.15,"tropicana",1
"300",6652,3.37,"tropicana",0
"303",5309,3.18,"tropicana",0
"306",5044,1.6,"dominicks",1
"310",10992,1.43,"dominicks",0
"311",7731,2.22,"minute.maid",0
"322",4711,1.34,"minute.maid",0
"325",6762,2.52,"minute.maid",0
"329",11670,2.54,"dominicks",1
"330",3156,1.59,"tropicana",0
"332",8255,2.8,"tropicana",0
"333",12796,NA,"dominicks",0
"334",10132,1.92,"minute.maid",1
"340",10538,2,"tropicana",0
"341",3708,2.57,"minute.maid",0
"342",10745,2.08,"dominicks",0
"344",2666,3.87,"tropicana",0
"347",2874,1.93,"minute.maid",1
"354",7789,1.08,"dominicks",1
"362",3614,1.51,"minute.maid",1
"367",1082,2.45,"minute.maid",0
"371",1493,3.02,"tropicana",0
"375",8202,2.39,"tropicana",0
"387",11131,2.03,"minute.maid",1
"388",7068,2.83,"minute.maid",0
"391",12715,3.06,"tropicana",0
